variable,value,unit,source,notes
aoi_area_ha,27515.387437,ha,geometry,geodesic_wgs84_pyproj
end_year,2025,year,hansen_gfc,forest_end_year
forest_2025_ha,15603.279905,ha,hansen_gfc,rfm_mask & (lossyear == 0)
forest_end_year_ha,15603.279905,ha,hansen_gfc,forest_mask_end_year
forest_loss_post_2020_percent_of_aoi,13.407943,percent,hansen_gfc,forest_loss_post_2020_ha / aoi_area_ha
loss_2021_2025_ha,3689.247459,ha,hansen_gfc,rfm_mask & (lossyear in 21..25)
loss_total_ha,11786.767801,ha,hansen_gfc,rfm_mask & (lossyear > 0)
pixel_current_tree_cover_ha,15603.279905,ha,hansen_gfc,pixel_mask
pixel_forest_loss_post_2020_ha,3689.247459,ha,hansen_gfc,pixel_mask
pixel_initial_tree_cover_ha,27390.047706,ha,hansen_gfc,pixel_mask
rfm_area_ha,27390.047706,ha,hansen_gfc,rfm_mask
