variable,value
aoi_geodesic_area_ha,267497.6889
aoi_id,liberia_fmc_area_k_contract_boundary
asset_catalogue,/Users/server/projects/eudr-dmi-gil/data_db/liberia_wood_geemap_pipeline_assets.csv
asset_catalogue_sha256,e14d4bc1d57971a7079ec18adb1996e1fbb711502ae1a25172c79e65262a0bca
asset_id_fdp_cocoa,projects/forestdatapartnership/assets/cocoa/model_2025b
asset_id_fdp_coffee,projects/forestdatapartnership/assets/coffee/model_2025b
asset_id_fdp_palm,projects/forestdatapartnership/assets/palm/model_2025b
asset_id_fdp_rubber,projects/forestdatapartnership/assets/rubber/model_2025b
asset_id_hansen_gfc,UMD/hansen/global_forest_change_2025_v1_13
asset_id_jrc_forest_types,JRC/GFC2020_subtypes/V1
asset_id_jrc_gfc2020,JRC/GFC2020/V3
asset_id_sentinel2,COPERNICUS/S2_SR_HARMONIZED
asset_id_tmf_deforestation_year,projects/JRC/TMF/v1_2025/DeforestationYear
asset_id_tmf_degradation_year,projects/JRC/TMF/v1_2025/DegradationYear
commodity,wood
fdp_any_tree_crop_2024_ha,14508.9626
fdp_cocoa_image_count,4
fdp_coffee_image_count,4
fdp_palm_image_count,4
fdp_rubber_image_count,4
generated_utc,2026-08-12T14:53:44Z
hansen_loss_2021_2025_on_jrc_forest_ha,10876.0295
hansen_loss_inside_wood_concession_context_ha,10876.0295
hansen_loss_on_fdp_tree_crop_candidate_ha,3700.1639
hansen_lossyear_max_in_50km_buffer,25
hansen_lossyear_max_in_aoi,25
jrc_forest_2020_ha,260465.7432
jrc_forest_remaining_end_2025_ha,249612.8908
pipeline_config,/Users/server/projects/eudr-dmi-gil/data_db/liberia_wood_geemap_pipeline_config.json
pipeline_config_sha256,9f4535a4609b05c7eca778d3bdae088a31aaa5335859ec8cedbafe88fe661e7b
pipeline_script,/Users/server/projects/eudr-dmi-gil/scripts/run_liberia_wood_geemap_pipeline.py
pipeline_script_sha256,2292b65282b5536102948619a07f3fdabbaabcc259add1c3a189c7644de4b4d9
production_geometry_role,concession
production_plot_status,unresolved
s2_2020_least_cloudy_scene_cloud_pct,0
s2_2020_least_cloudy_scene_date,2020-02-15
s2_2020_mean_valid_obs_per_pixel,13.2598
s2_2020_min_valid_obs_per_pixel,5
s2_2020_scene_count,55
s2_2025_least_cloudy_scene_cloud_pct,0.0366
s2_2025_least_cloudy_scene_date,2025-01-04
s2_2025_mean_valid_obs_per_pixel,9.3911
s2_2025_min_valid_obs_per_pixel,1
s2_2025_scene_count,53
screening_interpretation,"{'wood_concession_context': 'The AOI is source/concession context only. It is not harvesting-block, tree-origin, log-origin or shipment-specific proof.', 'hansen_loss_inside_wood_concession_context_ha': 'Post-2020 Hansen stand-replacement disturbance on JRC 2020 forest inside the concession.', 'tmf_degradation_ha': 'JRC TMF degradation is a separate wood-path observer and is not collapsed into deforestation hectares.', 'fdp_tree_crop_candidate': 'Optional non-wood tree-crop probability context from FDP. It is not timber-source evidence and does not resolve wood legality or source linkage.'}"
source_geojson,/Users/server/projects/eudr-dmi-gil/aoi_json_examples/liberia_fmc_area_k_contract_boundary.geojson
source_geojson_sha256,db386f478d9b461418155cb5db4ed9bd70d26d0b554786d61e76aad6280a210b
tmf_deforestation_2021_2025_ha,5416.4285
tmf_degradation_2021_2025_ha,7135.5278
wood_concession_context_area_ha,266341.8423
